objectid,file_name,title,writer_name,gender,location,longitude,latitude,publisher,date,year,month,day,page_number,related,tone/emotion,subject,object_location,image_small,image_thumb
df_001,df_1968-01-05.pdf,Already on the Way,Chukuma Dj. Akaeme,Male,Port Harcourt,7.033611,4.824167,Daily Flash,1968-01-05,1968,January,5,2,,persuassion,Cease-Fire,/objects/df_001.jpg,/objects/small/df_001_sm.jpg,/objects/thumbs/df_001_th.jpg
df_002,df_1968-01-05.pdf,Worthy of Note,D.N.C Nwaozor,Undecided,Port Harcourt,7.033611,4.824167,Daily Flash,1968-01-05,1968,January,5,2,,encouraging,Conscience; Morale,/objects/df_002.jpg,/objects/small/df_002_sm.jpg,/objects/thumbs/df_002_th.jpg
df_003,df_1968-01-10.pdf,Peole's Leader,Clem C. Chukukereze,Male,Port Harcourt,7.033611,4.824167,Daily Flash,1968-01-10,1968,January,10,2,,confidence,Ojukwu's Leadership; Saboteurs; Subversion,/objects/df_003.jpg,/objects/small/df_003_sm.jpg,/objects/thumbs/df_003_th.jpg
df_004,df_1968-01-10.pdf,Thank You Gowon,Caroline U. Nwafor,Female,Port Harcourt,7.033611,4.824167,Daily Flash,1968-01-10,1968,January,10,2,,excitement,Recognition; Currency,/objects/df_004.jpg,/objects/small/df_004_sm.jpg,/objects/thumbs/df_004_th.jpg
df_005,df_1968-01-11.pdf,Biafran Soldier What a Man he is,Victoria Nnanabu,Female,Awo-Ommama,6.934444,5.656389,Daily Flash,1968-01-11,1968,January,11,2,,motivating,Sacrifice; Patriotism; Military Might,/objects/df_005.jpg,/objects/small/df_005_sm.jpg,/objects/thumbs/df_005_th.jpg
df_006,df_1968-01-11.pdf,Scap This Name,Math O. Chuks,Male,Port Harcourt,7.033611,4.824167,Daily Flash,1968-01-11,1968,January,11,2,,concerned,Patriotism; National Identity; Renaming Campaign,/objects/df_006.jpg,/objects/small/df_006_sm.jpg,/objects/thumbs/df_006_th.jpg
df_007,df_1968-01-12.pdf,Appeal to PH Landlords,Job N. Ugbaja,Male,Port Harcourt,7.033611,4.824167,Daily Flash,1968-01-12,1968,January,12,2,,appeal,Voluntary Contribution; Sacrifice; Landlords,/objects/df_007.jpg,/objects/small/df_007_sm.jpg,/objects/thumbs/df_007_th.jpg
df_008,df_1968-01-12.pdf,Kill the Vandals from a distance,R. N. Obi,Undecided,Obia,7.0412, 4.8393,Daily Flash,1968-01-12,1968,January,12,2,,,1966 Pogrom; Painful Memory;Meningitis; Vandals; British Support,/objects/df_008.jpg,/objects/small/df_008_sm.jpg,/objects/thumbs/df_008_th.jpg
df_009,df_1968-01-13.pdf,The Taciturn World,Chukuma Dj. Akaeme,Male,Port Harcourt,7.033611,4.824167,Daily Flash,1968-01-13,1968,January,13,2,,,Global Silence; Conscience,/objects/df_009.jpg,/objects/small/df_009_sm.jpg,/objects/thumbs/df_009_th.jpg
df_010,df_1968-01-15.pdf,Don't Ignore Short Men,Chidi Mbaebie,Male,Port Harcourt,7.033611,4.824167,Daily Flash,1968-01-15,1968,January,15,2,,,Military Recruitment; Eligibility ,/objects/df_010.jpg,/objects/small/df_010_sm.jpg,/objects/thumbs/df_010_th.jpg
df_011,df_1968-01-16.pdf,High Cost of Beer,J. D. Maduako,Undecided,Port Harcourt,7.033611,4.824167,Daily Flash,1968-01-16,1968,January,16,2,,,Wartime Comsumption; Price of Beer; High Cost,/objects/df_011.jpg,/objects/small/df_011_sm.jpg,/objects/thumbs/df_011_th.jpg
df_012,df_1968-01-16.pdf,Nigeria Limited?,Nnochiri S. Ogbonnaya,Male,Okrika,7.083,4.74,Daily Flash,1968-01-16,1968,January,16,2,,,Renaming Campaign,/objects/df_012.jpg,/objects/small/df_012_sm.jpg,/objects/thumbs/df_012_th.jpg
df_013,df_1968-01-17.pdf,Is Bob Loko Dead?,John T. Bright,Male,Okrika,7.083,4.74,Daily Flash,1968-01-17,1968,January,17,2,,,Columnist,/objects/df_013.jpg,/objects/small/df_013_sm.jpg,/objects/thumbs/df_013_th.jpg
df_014,df_1968-01-18.pdf,Time for a Change of Heart,J. E. Chukwunyere,Undecided,Aba,7.373265,5.121588,Daily Flash,1968-01-18,1968,January,18,2,,,True Biafran; Corruption;High Cost,/objects/df_014.jpg,/objects/small/df_014_sm.jpg,/objects/thumbs/df_014_th.jpg
df_015,df_1968-01-18.pdf,Worthy Suggestions by Ilozue,J. B. Nzeh,Undecided,Port Harcourt,7.033611,4.824167,Daily Flash,1968-01-18,1968,January,18,2,,,Painful Memory,/objects/df_015.jpg,/objects/small/df_015_sm.jpg,/objects/thumbs/df_015_th.jpg
df_016,df_1968-01-19.pdf,Impossible Pools Dividends,Nwezike Obi,Male,Port Harcourt,7.033611,4.824167,Daily Flash,1968-01-19,1968,January,19,2,,,Exploitation; Corporate Transparency; Pools,/objects/df_016.jpg,/objects/small/df_016_sm.jpg,/objects/thumbs/df_016_th.jpg
df_017,df_1968-01-20.pdf,Wilson has let down Britain,J. U. Ezechi,Undecided,Aba,7.373265,5.121588,Daily Flash,1968-01-20,1968,January,20,2,,,Harold Wilson; Anti-British Campaign,/objects/df_017.jpg,/objects/small/df_017_sm.jpg,/objects/thumbs/df_017_th.jpg
df_018,df_1968-01-20.pdf,Ojukwu's Words will come true,J. Chinedu Ozorugwu,Male,Aba,7.373265,5.121588,Daily Flash,1968-01-20,1968,January,20,2,,,Gowon; Merceneries,/objects/df_018.jpg,/objects/small/df_018_sm.jpg,/objects/thumbs/df_018_th.jpg
df_019,df_1968-01-22.pdf,Internal Vigilance,Victoria Nnanabu,Female,Awo-Ommama,6.934444,5.656389,Daily Flash,1968-01-22,1968,January,22,2,,,Vigilance,/objects/df_019.jpg,/objects/small/df_019_sm.jpg,/objects/thumbs/df_019_th.jpg
df_020,df_1968-01-22.pdf,Are they really mad,Chinyere Oleru,Female,Aba,7.373265,5.121588,Daily Flash,1968-01-22,1968,January,22,2,,,Vigilance,/objects/df_020.jpg,/objects/small/df_020_sm.jpg,/objects/thumbs/df_020_th.jpg
df_021,df_1968-01-25.pdf,Thank you for these Buses,Ozurumba Eme-Uzor,Male,Port Harcourt,7.033611,4.824167,Daily Flash,1968-01-25,1968,January,25,2,,,Social Amenities; Transportation,/objects/df_021.jpg,/objects/small/df_021_sm.jpg,/objects/thumbs/df_021_th.jpg
df_022,df_1968-01-25.pdf,Advice to Gowon,Prince L. Akums,Male,Port Harcourt,7.033611,4.824167,Daily Flash,1968-01-25,1968,January,25,2,,,1966 Pogrom; Gowon,/objects/df_022.jpg,/objects/small/df_022_sm.jpg,/objects/thumbs/df_022_th.jpg
df_023,df_1968-01-26.pdf,Saboteurs Take Note,Ifeoma Uchendu,Female,Enugu,7.511111,6.44455,Daily Flash,1968-01-26,1968,January,26,2,,,Saboteurs; True Biafrans,/objects/df_023.jpg,/objects/small/df_023_sm.jpg,/objects/thumbs/df_023_th.jpg
df_024,df_1968-01-26.pdf,Dim those Head Lights,Sunday O. Nwanju,Male,Port Harcourt,7.033611,4.824167,Daily Flash,1968-01-26,1968,January,26,2,,,Public Safety,/objects/df_024.jpg,/objects/small/df_024_sm.jpg,/objects/thumbs/df_024_th.jpg
df_025,df_1968-01-27.pdf,Let's have Francs,Ifediora Nzimiro,Male,Port Harcourt,7.033611,4.824167,Daily Flash,1968-01-27,1968,January,27,2,,,National Identity; Anti-British Sentiment; New Currency,/objects/df_025.jpg,/objects/small/df_025_sm.jpg,/objects/thumbs/df_025_th.jpg
df_026,df_1968-01-27.pdf,Obnoxious Word Nigeria,Cyril Ugwuoke,Male,Aba,7.373265,5.121588,Daily Flash,1968-01-27,1968,January,27,2,df_012,,Renaming Campaign; National Identity,/objects/df_026.jpg,/objects/small/df_026_sm.jpg,/objects/thumbs/df_026_th.jpg
